gene,resolves_to,status,in_gene_set,trigenic_train_records,distinct_screens,passes,reasons
YAL009W,YAL009W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YAL040C,YAL040C,current,True,319,319,True,
YAL054C,YAL054C,current,True,341,341,True,
YAL056W,YAL056W,current,True,4129,11,False,measured under only 11 distinct screens
YAR015W,YAR015W,current,True,306,306,True,
YAR018C,YAR018C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YAR035W,YAR035W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YBL008W,YBL008W,current,True,316,316,True,
YBL039C,YBL039C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YBL047C,YBL047C,current,True,291,291,True,
YBL054W,YBL054W,current,True,1084,12,False,measured under only 12 distinct screens
YBL088C,YBL088C,current,True,300,300,True,
YBR001C,YBR001C,current,True,1036,12,False,measured under only 12 distinct screens
YBR023C,YBR023C,current,True,287,287,True,
YBR028C,YBR028C,current,True,279,279,True,
YBR085W,YBR085W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YBR092C,YBR092C,current,True,271,271,True,
YBR093C,YBR093C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YBR112C,YBR112C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YBR132C,YBR132C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YBR182C,YBR182C,current,True,1035,11,False,measured under only 11 distinct screens
YBR195C,YBR195C,current,True,289,289,True,
YBR215W,YBR215W,current,True,320,320,True,
YBR229C,YBR229C,current,True,760,294,True,
YBR235W,YBR235W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YBR249C,YBR249C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YBR274W,YBR274W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YBR278W,YBR278W,current,True,4140,320,True,
YBR281C,YBR281C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YBR291C,YBR291C,current,True,291,291,True,
YBR297W,YBR297W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YCL009C,YCL009C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YCL016C,YCL016C,current,True,328,328,True,
YCL029C,YCL029C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YCL050C,YCL050C,current,True,1138,11,False,measured under only 11 distinct screens
YCL064C,YCL064C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YCR020W-B,YCR020W-B,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YCR026C,YCR026C,current,True,1124,11,False,measured under only 11 distinct screens
YCR033W,YCR033W,current,True,294,294,True,
YCR034W,YCR034W,current,True,322,322,True,
YCR036W,YCR036W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YCR037C,YCR037C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YCR065W,YCR065W,current,True,318,318,True,
YCR066W,YCR066W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YCR073C,YCR073C,current,True,276,276,True,
YCR075C,YCR075C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YCR083W,YCR083W,current,True,328,328,True,
YCR086W,YCR086W,current,True,310,310,True,
YCR091W,YCR091W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YCR095C,YCR095C,current,True,838,307,True,
YCR098C,YCR098C,current,True,321,321,True,
YCR105W,YCR105W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YCR107W,YCR107W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDL022W,YDL022W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDL024C,YDL024C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDL025C,YDL025C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDL036C,YDL036C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDL048C,YDL048C,current,True,296,296,True,
YDL052C,YDL052C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDL056W,YDL056W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDL066W,YDL066W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDL076C,YDL076C,current,True,296,296,True,
YDL078C,YDL078C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDL079C,YDL079C,current,True,1063,11,False,measured under only 11 distinct screens
YDL085W,YDL085W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDL091C,YDL091C,current,True,803,279,True,
YDL093W,YDL093W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDL095W,YDL095W,current,True,315,315,True,
YDL101C,YDL101C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDL106C,YDL106C,current,True,293,293,True,
YDL122W,YDL122W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDL170W,YDL170W,current,True,506,1,False,measured under only 1 distinct screens
YDL182W,YDL182W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDL185W,YDL185W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDL210W,YDL210W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDL213C,YDL213C,current,True,490,1,False,measured under only 1 distinct screens
YDL214C,YDL214C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDL236W,YDL236W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDR007W,YDR007W,current,True,315,315,True,
YDR026C,YDR026C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDR043C,YDR043C,current,True,1285,279,True,
YDR072C,YDR072C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YDR096W,YDR096W,current,True,1031,11,False,measured under only 11 distinct screens
YDR122W,YDR122W,current,True,1011,10,False,measured under only 10 distinct screens
YDR130C,YDR130C,current,True,493,10,False,measured under only 10 distinct screens
YDR206W,YDR206W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YDR213W,YDR213W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YDR253C,YDR253C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YDR259C,YDR259C,current,True,1041,10,False,measured under only 10 distinct screens
YDR260C,YDR260C,current,True,273,273,True,
YDR266C,YDR266C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YDR287W,YDR287W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YDR294C,YDR294C,current,True,557,10,False,measured under only 10 distinct screens
YDR297W,YDR297W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YDR305C,YDR305C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YDR332W,YDR332W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YDR335W,YDR335W,current,True,289,289,True,
YDR363W-A,YDR363W-A,current,True,303,303,True,
YDR423C,YDR423C,current,True,1049,10,False,measured under only 10 distinct screens
YDR451C,YDR451C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YDR466W,YDR466W,current,True,290,290,True,
YDR507C,YDR507C,current,True,1100,1,False,measured under only 1 distinct screens
YDR518W,YDR518W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YDR523C,YDR523C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL006W,YEL006W,current,True,1101,1,False,measured under only 1 distinct screens
YEL009C,YEL009C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL012W,YEL012W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL013W,YEL013W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL016C,YEL016C,current,True,1114,1,False,measured under only 1 distinct screens
YEL017C-A,YEL017C-A,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL018W,YEL018W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL024W,YEL024W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL027W,YEL027W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL029C,YEL029C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL031W,YEL031W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL037C,YEL037C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL038W,YEL038W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL039C,YEL039C,current,True,1080,1,False,measured under only 1 distinct screens
YEL041W,YEL041W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL042W,YEL042W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL047C,YEL047C,current,True,1102,1,False,measured under only 1 distinct screens
YEL051W,YEL051W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL061C,YEL061C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL062W,YEL062W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL066W,YEL066W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YEL071W,YEL071W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER005W,YER005W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER010C,YER010C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER016W,YER016W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER019W,YER019W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER024W,YER024W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER037W,YER037W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER040W,YER040W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER042W,YER042W,current,True,285,285,True,
YER053C,YER053C,current,True,292,292,True,
YER056C,YER056C,current,True,290,290,True,
YER059W,YER059W,current,True,1097,1,False,measured under only 1 distinct screens
YER060W,YER060W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER060W-A,YER060W-A,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER062C,YER062C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER064C,YER064C,current,True,1110,1,False,measured under only 1 distinct screens
YER065C,YER065C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER073W,YER073W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER081W,YER081W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER088C,YER088C,current,True,1386,314,True,
YER090W,YER090W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER091C,YER091C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER110C,YER110C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YER111C,YER111C,current,True,287,287,True,
YER120W,YER120W,current,True,1385,293,True,
YER123W,YER123W,current,True,302,302,True,
YER129W,YER129W,current,True,1388,313,True,
YER139C,YER139C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YER152C,YER152C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YER161C,YER161C,current,True,302,302,True,
YER163C,YER163C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YER169W,YER169W,current,True,1021,1,False,measured under only 1 distinct screens
YER170W,YER170W,current,True,301,301,True,
YER174C,YER174C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YER175C,YER175C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YER183C,YER183C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YER184C,YER184C,current,True,313,313,True,
YFL011W,YFL011W,current,True,102,102,False,only 102 trigenic training records
YFL021W,YFL021W,current,True,277,277,True,
YFL030W,YFL030W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFL031W,YFL031W,current,True,314,314,True,
YFL033C,YFL033C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFL052W,YFL052W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFL053W,YFL053W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFL054C,YFL054C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFL055W,YFL055W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR007W,YFR007W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR013W,YFR013W,current,True,1401,316,True,
YFR014C,YFR014C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR015C,YFR015C,current,True,1445,341,True,
YFR019W,YFR019W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR030W,YFR030W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR033C,YFR033C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR044C,YFR044C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR047C,YFR047C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR049W,YFR049W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR053C,YFR053C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YFR055W,YFR055W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL006W,YGL006W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL009C,YGL009C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL014W,YGL014W,current,True,290,290,True,
YGL017W,YGL017W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL021W,YGL021W,current,True,1027,11,False,measured under only 11 distinct screens
YGL027C,YGL027C,current,True,310,310,True,
YGL028C,YGL028C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL035C,YGL035C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL037C,YGL037C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL059W,YGL059W,current,True,302,302,True,
YGL060W,YGL060W,current,True,1321,281,True,
YGL062W,YGL062W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL063W,YGL063W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YGL067W,YGL067W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL077C,YGL077C,current,True,316,316,True,
YGL080W,YGL080W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL096W,YGL096W,current,True,1073,11,False,measured under only 11 distinct screens
YGL101W,YGL101W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL121C,YGL121C,current,True,297,297,True,
YGL125W,YGL125W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL133W,YGL133W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGL148W,YGL148W,current,True,292,292,True,
YGL156W,YGL156W,current,True,328,328,True,
YGL158W,YGL158W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL166W,YGL166W,current,True,1040,12,False,measured under only 12 distinct screens
YGL175C,YGL175C,current,True,805,285,True,
YGL179C,YGL179C,current,True,1087,12,False,measured under only 12 distinct screens
YGL196W,YGL196W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL197W,YGL197W,current,True,1082,12,False,measured under only 12 distinct screens
YGL202W,YGL202W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL205W,YGL205W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL209W,YGL209W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL222C,YGL222C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL224C,YGL224C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL234W,YGL234W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL240W,YGL240W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YGL246C,YGL246C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
